record_version,record_number,record_timestamp,sample_index,ax,ay,az,gx,gy,gz,aux_flags,record_timestamp_iso,record_delta_ms
2,0,1761745645996,0,862,213,462,-210,-210,560,7,2025-10-29T13:47:25.996000+00:00,0
2,0,1761745645996,1,862,213,462,-140,-140,560,7,2025-10-29T13:47:25.996000+00:00,0
2,0,1761745645996,2,862,213,463,-140,-140,560,7,2025-10-29T13:47:25.996000+00:00,0
2,0,1761745645996,3,862,213,463,-210,-210,630,7,2025-10-29T13:47:25.996000+00:00,0
2,0,1761745645996,4,862,213,462,-210,-210,560,7,2025-10-29T13:47:25.996000+00:00,0
2,0,1761745645996,5,862,213,462,-210,-210,560,7,2025-10-29T13:47:25.996000+00:00,0
2,0,1761745645996,6,862,213,462,-210,-210,560,7,2025-10-29T13:47:25.996000+00:00,0
2,0,1761745645996,7,862,213,462,-210,-210,560,7,2025-10-29T13:47:25.996000+00:00,0
2,0,1761745645996,8,862,213,462,-210,-210,630,7,2025-10-29T13:47:25.996000+00:00,0
2,0,1761745645996,9,862,213,462,-210,-210,630,7,2025-10-29T13:47:25.996000+00:00,0
2,1,1761745646162,0,862,213,462,-140,-140,560,7,2025-10-29T13:47:26.162000+00:00,166
2,1,1761745646162,1,862,213,462,-210,-210,560,7,2025-10-29T13:47:26.162000+00:00,166
2,1,1761745646162,2,862,213,462,-210,-210,560,7,2025-10-29T13:47:26.162000+00:00,166
2,1,1761745646162,3,862,213,462,-210,-210,560,7,2025-10-29T13:47:26.162000+00:00,166
2,1,1761745646162,4,862,213,462,-140,-140,560,7,2025-10-29T13:47:26.162000+00:00,166
2,1,1761745646162,5,862,213,463,-210,-210,560,7,2025-10-29T13:47:26.162000+00:00,166
2,1,1761745646162,6,862,213,463,-140,-140,560,7,2025-10-29T13:47:26.162000+00:00,166
2,1,1761745646162,7,862,213,462,-140,-140,560,7,2025-10-29T13:47:26.162000+00:00,166
2,1,1761745646162,8,862,213,462,-140,-140,560,7,2025-10-29T13:47:26.162000+00:00,166
2,1,1761745646162,9,862,213,462,-140,-140,560,7,2025-10-29T13:47:26.162000+00:00,166
2,2,1761745646329,0,862,213,462,-140,-140,560,7,2025-10-29T13:47:26.329000+00:00,167
2,2,1761745646329,1,862,213,462,-210,-210,560,7,2025-10-29T13:47:26.329000+00:00,167
2,2,1761745646329,2,862,213,462,-210,-210,560,7,2025-10-29T13:47:26.329000+00:00,167
2,2,1761745646329,3,862,213,462,-210,-210,560,7,2025-10-29T13:47:26.329000+00:00,167
2,2,1761745646329,4,862,213,462,-210,-210,560,7,2025-10-29T13:47:26.329000+00:00,167
2,2,1761745646329,5,862,213,462,-210,-210,560,7,2025-10-29T13:47:26.329000+00:00,167
2,2,1761745646329,6,862,213,462,-210,-210,560,7,2025-10-29T13:47:26.329000+00:00,167
2,2,1761745646329,7,862,213,463,-210,-210,560,7,2025-10-29T13:47:26.329000+00:00,167
2,2,1761745646329,8,862,213,462,-210,-210,560,7,2025-10-29T13:47:26.329000+00:00,167
2,2,1761745646329,9,862,213,462,-210,-210,560,7,2025-10-29T13:47:26.329000+00:00,167
2,3,1761745646496,0,862,213,462,-210,-210,560,7,2025-10-29T13:47:26.496000+00:00,167
2,3,1761745646496,1,862,213,462,-140,-140,560,7,2025-10-29T13:47:26.496000+00:00,167
2,3,1761745646496,2,862,213,462,-210,-210,560,7,2025-10-29T13:47:26.496000+00:00,167
2,3,1761745646496,3,862,213,462,-210,-210,560,7,2025-10-29T13:47:26.496000+00:00,167
2,3,1761745646496,4,862,213,462,-140,-140,560,7,2025-10-29T13:47:26.496000+00:00,167
2,3,1761745646496,5,862,213,462,-210,-210,560,7,2025-10-29T13:47:26.496000+00:00,167
2,3,1761745646496,6,862,213,462,-210,-210,560,7,2025-10-29T13:47:26.496000+00:00,167
2,3,1761745646496,7,862,213,462,-210,-210,560,7,2025-10-29T13:47:26.496000+00:00,167
2,3,1761745646496,8,862,213,462,-210,-210,630,7,2025-10-29T13:47:26.496000+00:00,167
2,3,1761745646496,9,862,213,462,-210,-210,630,7,2025-10-29T13:47:26.496000+00:00,167
2,4,1761745646662,0,862,213,462,-140,-140,560,31,2025-10-29T13:47:26.662000+00:00,166
2,4,1761745646662,1,862,213,462,-140,-140,560,31,2025-10-29T13:47:26.662000+00:00,166
2,4,1761745646662,2,862,213,463,-210,-210,630,31,2025-10-29T13:47:26.662000+00:00,166
2,4,1761745646662,3,862,213,463,-210,-210,560,31,2025-10-29T13:47:26.662000+00:00,166
2,4,1761745646662,4,862,213,463,-140,-140,560,31,2025-10-29T13:47:26.662000+00:00,166
2,4,1761745646662,5,862,213,462,-140,-140,560,31,2025-10-29T13:47:26.662000+00:00,166
2,4,1761745646662,6,862,213,462,-140,-140,560,31,2025-10-29T13:47:26.662000+00:00,166
2,4,1761745646662,7,862,213,462,-210,-210,560,31,2025-10-29T13:47:26.662000+00:00,166
2,4,1761745646662,8,862,213,462,-140,-140,560,31,2025-10-29T13:47:26.662000+00:00,166
2,4,1761745646662,9,862,213,462,-140,-140,560,31,2025-10-29T13:47:26.662000+00:00,166
