record_version,record_number,record_timestamp,sample_index,ax,ay,az,gx,gy,gz,aux_flags
2,0,1757714266109,0,971,-132,197,-210,560,-210,7
2,0,1757714266109,1,971,-132,197,-210,560,-210,7
2,0,1757714266109,2,971,-132,197,-210,490,-210,7
2,0,1757714266109,3,971,-132,196,-210,490,-210,7
2,0,1757714266109,4,971,-132,196,-280,490,-140,7
2,0,1757714266109,5,971,-132,197,-280,490,-210,7
2,0,1757714266109,6,971,-132,197,-280,490,-70,7
2,0,1757714266109,7,971,-132,197,-210,560,-210,7
2,0,1757714266109,8,971,-132,196,-280,420,-70,7
2,0,1757714266109,9,971,-132,196,-210,560,-210,7
2,1,1757714266275,0,971,-132,196,-280,490,-140,31
2,1,1757714266275,1,971,-132,196,-350,420,-70,31
2,1,1757714266275,2,971,-132,196,-210,630,-280,31
2,1,1757714266275,3,971,-132,197,-280,420,-140,31
2,1,1757714266275,4,971,-132,196,-280,560,-210,31
2,1,1757714266275,5,971,-132,196,-280,560,-210,31
2,1,1757714266275,6,971,-132,197,-210,630,-280,31
2,1,1757714266275,7,971,-132,197,-280,490,-70,31
2,1,1757714266275,8,971,-132,197,-280,490,-70,31
2,1,1757714266275,9,971,-132,197,-210,490,-140,31
2,2,1757714266442,0,971,-132,196,-280,490,-140,31
2,2,1757714266442,1,971,-132,196,-280,490,-140,31
2,2,1757714266442,2,971,-132,196,-280,490,-140,31
2,2,1757714266442,3,971,-132,196,-280,490,-140,31
2,2,1757714266442,4,971,-132,196,-280,490,-140,31
2,2,1757714266442,5,971,-132,196,-280,490,-140,31
2,2,1757714266442,6,971,-132,196,-210,560,-210,31
2,2,1757714266442,7,971,-132,196,-280,420,-140,31
2,2,1757714266442,8,971,-132,196,-210,560,-210,31
2,2,1757714266442,9,971,-132,196,-280,490,-140,31
2,3,1757714266609,0,971,-132,196,-280,490,-210,31
2,3,1757714266609,1,971,-132,196,-280,490,-210,31
2,3,1757714266609,2,971,-132,196,-280,420,-140,31
2,3,1757714266609,3,971,-132,196,-210,490,-210,31
2,3,1757714266609,4,971,-132,196,-210,490,-140,31
2,3,1757714266609,5,971,-132,196,-280,490,-140,31
2,3,1757714266609,6,971,-132,196,-280,490,-210,31
2,3,1757714266609,7,971,-132,196,-210,560,-210,31
2,3,1757714266609,8,971,-132,196,-280,420,-140,31
2,3,1757714266609,9,971,-132,196,-210,560,-280,31
2,4,1757714266775,0,971,-132,196,-210,560,-280,31
2,4,1757714266775,1,971,-132,196,-280,490,-140,31
2,4,1757714266775,2,971,-132,196,-280,490,-140,31
2,4,1757714266775,3,971,-132,196,-210,630,-280,31
2,4,1757714266775,4,971,-132,196,-350,420,0,31
2,4,1757714266775,5,971,-132,196,-350,420,0,31
2,4,1757714266775,6,971,-132,196,-350,420,0,31
2,4,1757714266775,7,971,-132,196,-210,630,-280,31
2,4,1757714266775,8,971,-132,196,-280,490,-140,31
2,4,1757714266775,9,971,-132,196,-280,490,-140,31
2,5,1757714266942,0,971,-132,196,-350,350,0,31
2,5,1757714266942,1,971,-132,196,-140,630,-280,31
2,5,1757714266942,2,971,-132,196,-350,420,-70,31
2,5,1757714266942,3,971,-132,196,-210,560,-210,31
2,5,1757714266942,4,971,-132,196,-280,490,-210,31
2,5,1757714266942,5,971,-132,196,-280,490,-140,31
2,5,1757714266942,6,971,-132,196,-210,560,-210,31
2,5,1757714266942,7,971,-132,196,-280,420,-140,31
2,5,1757714266942,8,971,-132,196,-210,560,-210,31
2,5,1757714266942,9,971,-132,196,-280,490,-140,31
2,5,1757714266942,0,971,-132,196,-350,350,0,31
2,5,1757714266942,1,971,-132,196,-140,630,-280,31
2,5,1757714266942,2,971,-132,196,-350,420,-70,31
2,5,1757714266942,3,971,-132,196,-210,560,-210,31
2,5,1757714266942,4,971,-132,196,-280,490,-210,31
2,5,1757714266942,5,971,-132,196,-280,490,-140,31
2,5,1757714266942,6,971,-132,196,-210,560,-210,31
2,5,1757714266942,7,971,-132,196,-280,420,-140,31
2,5,1757714266942,8,971,-132,196,-210,560,-210,31
2,5,1757714266942,9,971,-132,196,-280,490,-140,31
2,6,1757714267109,0,971,-132,196,-210,560,-210,31
2,6,1757714267109,1,971,-132,196,-210,560,-210,31
2,6,1757714267109,2,971,-132,196,-280,490,-140,31
2,6,1757714267109,3,971,-132,196,-280,490,-140,31
2,6,1757714267109,4,971,-132,196,-280,420,-70,31
2,6,1757714267109,5,971,-132,196,-280,420,-70,31
2,6,1757714267109,6,971,-132,196,-210,560,-210,31
2,6,1757714267109,7,971,-132,196,-210,560,-210,31
2,6,1757714267109,8,971,-132,196,-140,630,-280,31
2,6,1757714267109,9,971,-132,196,-280,420,-70,31
2,7,1757714267275,0,971,-132,196,-280,490,-210,31
2,7,1757714267275,1,971,-132,196,-210,560,-210,31
2,7,1757714267275,2,971,-132,196,-350,350,0,31
2,7,1757714267275,3,971,-132,196,-140,630,-350,31
2,7,1757714267275,4,971,-132,196,-350,420,0,31
2,7,1757714267275,5,971,-132,196,-210,560,-210,31
2,7,1757714267275,6,971,-132,196,-280,490,-140,31
2,7,1757714267275,7,971,-132,196,-280,490,-140,31
2,7,1757714267275,8,971,-132,196,-210,560,-210,31
