record_version,record_number,record_timestamp,aux_timestamp,mag_uT_x,mag_uT_y,mag_uT_z,aux_flags
2,0,1757714266109,1757714266273,-612,9762,-2387,7
2,1,1757714266275,1757714266496,-618,9719,-2376,31
2,2,1757714266442,1757714266598,-634,9722,-2357,31
2,3,1757714266609,1757714266746,-632,9729,-2394,31
2,4,1757714266775,1757714266896,-634,9738,-2427,31
2,5,1757714266942,1757714267107,-606,9729,-2413,31
2,5,1757714266942,1757714267107,-606,9729,-2413,31
2,6,1757714267109,1757714267205,-618,9748,-2384,31
2,7,1757714267275,1757714267355,-609,9750,-2403,31
2,8,1757714267442,1757714267355,-609,9750,-2403,31
2,9,1757714267609,1757714267355,-609,9750,-2403,31
2,10,1757714267775,1757714267924,-609,9750,-2403,31
2,11,1757714267942,1757714268121,-605,9727,-2370,31
2,12,1757714268109,1757714268220,-620,9742,-2388,31
2,13,1757714268275,1757714268370,-618,9739,-2394,31
2,14,1757714268442,1757714268370,-618,9739,-2394,31
2,16,1757714268775,1757714268942,-618,9739,-2394,31
2,16,1757714268775,1757714268942,-618,9739,-2394,31
2,17,1757714268942,1757714269091,-637,9731,-2422,31
2,18,1757714269109,1757714269289,-607,9742,-2399,31
2,19,1757714269275,1757714269399,-617,9711,-2363,31
2,20,1757714269442,1757714269399,-617,9711,-2363,31
2,22,1757714269775,1757714269951,-617,9711,-2363,31
2,23,1757714269942,1757714270108,-632,9766,-2411,31
2,24,1757714270109,1757714270309,-642,9763,-2392,31
2,25,1757714270275,1757714270408,-617,9760,-2389,31
2,26,1757714270442,1757714270408,-617,9760,-2389,31
2,27,1757714270609,1757714270408,-617,9760,-2389,31
2,28,1757714270775,1757714270973,-617,9760,-2389,31
2,29,1757714270942,1757714271122,-612,9738,-2370,31
2,30,1757714271109,1757714271320,-607,9740,-2417,31
2,30,1757714271109,1757714271320,-607,9740,-2417,31
2,32,1757714271442,1757714271419,-620,9731,-2414,31
2,32,1757714271442,1757714271419,-620,9731,-2414,31
2,34,1757714271775,1757714271933,-620,9731,-2414,31
2,35,1757714271942,1757714272143,-606,9768,-2393,31
2,36,1757714272109,1757714272292,-632,9756,-2403,31
2,37,1757714272275,1757714272492,-601,9769,-2415,31
2,38,1757714272442,1757714272641,-646,9719,-2400,31
2,39,1757714272609,1757714272839,-614,9755,-2374,31
2,40,1757714272775,1757714272938,-619,9753,-2416,31
2,40,1757714272775,1757714272938,-619,9753,-2416,31
2,41,1757714272942,1757714273139,-609,9744,-2415,31
2,42,1757714273109,1757714273296,-629,9741,-2429,31
2,43,1757714273275,1757714273496,-624,9733,-2404,31
2,45,1757714273609,1757714273496,-624,9733,-2404,31
2,46,1757714273775,1757714273966,-624,9733,-2404,31
2,47,1757714273942,1757714274174,-646,9758,-2379,31
2,48,1757714274109,1757714274323,-628,9739,-2371,31
2,49,1757714274275,1757714274473,-598,9754,-2388,31
2,50,1757714274442,1757714274573,-621,9743,-2397,31
2,51,1757714274609,1757714274573,-621,9743,-2397,31
2,52,1757714274775,1757714274984,-621,9743,-2397,31
2,53,1757714274942,1757714275194,-616,9751,-2389,31
2,54,1757714275109,1757714275343,-624,9762,-2394,31
2,55,1757714275275,1757714275503,-617,9749,-2341,31
2,56,1757714275442,1757714275603,-625,9738,-2382,31
2,57,1757714275609,1757714275603,-625,9738,-2382,31
2,58,1757714275775,1757714276000,-625,9738,-2382,31
2,59,1757714275942,1757714276200,-631,9742,-2424,31
2,60,1757714276109,1757714276357,-620,9751,-2466,31
2,61,1757714276275,1757714276505,-620,9752,-2434,31
2,62,1757714276442,1757714276554,-626,9756,-2407,31
2,63,1757714276609,1757714276554,-626,9756,-2407,31
2,64,1757714276775,1757714277017,-626,9756,-2407,31
2,65,1757714276942,1757714277123,-640,9757,-2465,31
2,66,1757714277109,1757714277372,-618,9742,-2398,31
2,67,1757714277275,1757714277520,-634,9743,-2401,31
2,68,1757714277442,1757714277567,-635,9726,-2411,31
2,68,1757714277442,1757714277567,-635,9726,-2411,31
2,70,1757714277775,1757714278033,-635,9726,-2411,31
2,70,1757714277775,1757714278033,-635,9726,-2411,31
2,71,1757714277942,1757714278140,-602,9739,-2390,31
2,72,1757714278109,1757714278389,-609,9732,-2441,31
2,73,1757714278275,1757714278538,-618,9731,-2378,31
2,75,1757714278609,1757714278586,-629,9723,-2404,31
2,76,1757714278775,1757714279050,-629,9723,-2404,31
2,77,1757714278942,1757714279148,-617,9727,-2443,31
2,78,1757714279109,1757714279407,-614,9735,-2406,31
2,79,1757714279275,1757714279555,-594,9751,-2379,31
2,80,1757714279442,1757714279705,-606,9759,-2386,31
2,81,1757714279609,1757714279705,-606,9759,-2386,31
2,82,1757714279775,1757714280068,-606,9759,-2386,31
2,83,1757714279942,1757714280176,-605,9730,-2471,31
2,84,1757714280109,1757714280426,-638,9712,-2497,31
2,85,1757714280275,1757714280575,-642,9737,-2490,31
2,86,1757714280442,1757714280725,-636,9718,-2506,31
2,87,1757714280609,1757714280773,-634,9723,-2446,31
2,88,1757714280775,1757714281084,-634,9723,-2446,31
2,89,1757714280942,1757714281190,-627,9729,-2470,31
2,90,1757714281109,1757714281338,-611,9744,-2456,31
2,91,1757714281275,1757714281588,-630,9731,-2416,31
2,92,1757714281442,1757714281695,-617,9697,-2471,31
2,93,1757714281609,1757714281695,-617,9697,-2471,31
2,94,1757714281775,1757714282101,-617,9697,-2471,31
2,95,1757714281942,1757714282199,-622,9736,-2459,31
2,96,1757714282109,1757714282358,-618,9721,-2433,31
2,97,1757714282275,1757714282608,-625,9742,-2426,31
2,98,1757714282442,1757714282757,-639,9733,-2429,31
2,99,1757714282609,1757714282757,-639,9733,-2429,31
2,100,1757714282775,1757714283120,-639,9733,-2429,31
2,101,1757714282942,1757714283227,-600,9731,-2385,31
2,102,1757714283109,1757714283376,-616,9707,-2442,31
2,103,1757714283275,1757714283628,-635,9721,-2379,31
2,104,1757714283442,1757714283727,-614,9726,-2370,31
2,105,1757714283609,1757714283886,-640,9750,-2363,31
2,106,1757714283775,1757714284136,-640,9750,-2363,31
2,107,1757714283942,1757714284235,-635,9752,-2389,31
2,108,1757714284109,1757714284384,-627,9731,-2403,31
2,109,1757714284275,1757714284632,-629,9730,-2366,31
2,110,1757714284442,1757714284789,-618,9735,-2421,31
2,111,1757714284609,1757714284836,-610,9760,-2368,31
2,112,1757714284775,1757714284836,-610,9760,-2368,31
2,113,1757714284942,1757714285252,-628,9747,-2429,31
2,114,1757714285109,1757714285401,-619,9743,-2421,31
2,115,1757714285275,1757714285611,-627,9734,-2397,31
2,116,1757714285442,1757714285761,-590,9732,-2363,31
2,117,1757714285609,1757714285961,-622,9733,-2440,31
2,117,1757714285609,1757714285961,-622,9733,-2440,31
2,118,1757714285775,1757714286011,-602,9716,-2411,31
2,120,1757714286109,1757714286423,-614,9740,-2392,31
2,120,1757714286109,1757714286423,-614,9740,-2392,31
2,121,1757714286275,1757714286571,-621,9742,-2418,31
2,122,1757714286442,1757714286820,-618,9728,-2397,31
2,124,1757714286775,1757714286970,-612,9720,-2388,31
2,125,1757714286942,1757714287283,-596,9744,-2381,31
2,126,1757714287109,1757714287431,-623,9714,-2350,31
2,127,1757714287275,1757714287579,-595,9750,-2367,31
2,128,1757714287442,1757714287837,-618,9768,-2332,31
